home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form
augsburg,hamburg,0,0,1,0.13,0.38,0.5,0.25,0.25,0.5,0.63,1.38,1,1.5,0.75,1,1,5,5,-0.38,0.38,0.13,0.5,0.25,0.25,0.5,1.13,1.38,1.25,1.75,1.25,1,0,6,10,-0.13
mainz,hoffenheim,1,0,0,0.38,0.25,0.38,0.67,0,0.33,1.13,1.25,1,0.33,1.38,2,1,7,10,0,0.25,0.25,0.5,0.25,0,0.75,1.63,2.13,1.75,2.25,1,0.75,1,2,8,-0.25
hannover,mgladbach,0,0,1,0.38,0.25,0.38,0.5,0.5,0,2,1.63,2.5,1.5,1.38,2,0,1,4,0,0.25,0.38,0.38,0,0.5,0.5,1.13,2,0.25,2.5,1.13,0.5,0,3,5,-0.13
schalke,nuernberg,1,0,0,0.63,0.25,0.13,0.75,0,0.25,2.13,1,2.25,0.75,2.13,2.25,3,7,10,0.5,0.25,0.25,0.5,0.5,0,0.5,0.88,1.75,1.25,2.25,1,1.5,1,1,1,-0.25
duesseldorf,wolfsburg,0,0,1,0.25,0.5,0.25,0,0.75,0.25,0.75,1,0.5,1.75,1.25,0.75,0,1,5,0,0.13,0.25,0.63,0.25,0.25,0.5,0.25,1.88,0.25,1.5,0.63,1,0,0,1,-0.5
hannover,augsburg,1,0,0,0.33,0.22,0.44,0.4,0.4,0.2,2,1.78,2.4,1.8,1.22,1.6,0,1,4,-0.11,0.11,0.33,0.56,0,0.5,0.5,0.56,1.44,0.25,1.25,0.67,0.5,0,4,5,-0.44
hamburg,bmuenchen,0,0,1,0.44,0.11,0.44,0.5,0,0.5,1.22,1.22,1,1,1.44,1.5,3,6,10,0,0.89,0,0.11,1,0,0,3,0.44,3,0,2.67,3,0,6,12,0.78
leverkusen,duesseldorf,1,0,0,0.44,0.33,0.22,0.5,0.5,0,1.67,1.33,1.75,0.75,1.67,2,3,5,11,0.22,0.22,0.44,0.33,0.5,0.25,0.25,0.78,1.33,1,0.25,1.11,1.75,0,0,4,-0.11
mgladbach,freiburg,0,1,0,0.33,0.33,0.33,0.5,0.25,0.25,1.33,2,2,1.5,1.33,1.75,3,6,7,0,0.33,0.22,0.44,0.25,0.25,0.5,1.44,1.33,0.75,1,1.22,1,0,6,6,-0.11
frankfurt,fuerth,0,1,0,0.67,0.11,0.22,0.8,0.2,0,2.22,1.44,2.6,1.6,2.11,2.6,0,3,7,0.44,0.11,0.33,0.56,0.25,0.5,0.25,0.67,1.67,1.25,1.5,0.67,1.25,1,2,2,-0.44
bremen,mainz,1,0,0,0.33,0.22,0.44,0.5,0.25,0.25,1.67,1.56,2,1,1.22,1.75,1,4,7,-0.11,0.44,0.22,0.33,0.2,0.4,0.4,1.33,1.11,1.2,1.8,1.56,1,3,7,10,0.11
hoffenheim,schalke,1,0,0,0.22,0.22,0.56,0.25,0.5,0.25,1.44,2.22,1.5,2,0.89,1.25,0,1,5,-0.33,0.67,0.22,0.11,0.5,0.5,0,2,0.89,2,1.25,2.22,2,3,9,13,0.56
dortmund,vfbstuttgart,0,1,0,0.44,0.33,0.22,0.75,0,0.25,2.22,1.22,2.75,0.75,1.67,2.25,3,4,8,0.22,0.33,0.33,0.33,0.5,0.25,0.25,1.11,1.67,1.5,2,1.33,1.75,3,7,10,0
nuernberg,wolfsburg,1,0,0,0.22,0.22,0.56,0,0.5,0.5,0.78,1.67,0.5,1.25,0.89,0.5,0,1,1,-0.33,0.22,0.22,0.56,0.4,0.2,0.4,0.67,1.78,1,1.4,0.89,1.4,3,3,3,-0.33
schalke,bremen,1,0,0,0.6,0.2,0.2,0.8,0,0.2,2,1.1,2,0.6,2,2.4,0,6,10,0.4,0.4,0.2,0.4,0.2,0.2,0.6,1.7,1.5,1.4,2,1.4,0.8,3,7,7,0
augsburg,dortmund,0,0,1,0.1,0.3,0.6,0.2,0.2,0.6,0.5,1.5,0.8,1.6,0.6,0.8,0,1,5,-0.5,0.4,0.4,0.2,0.2,0.6,0.2,2,1.1,1.8,1.6,1.6,1.2,1,4,8,0.2
bmuenchen,frankfurt,1,0,0,0.9,0,0.1,0.8,0,0.2,3,0.4,3,0.8,2.7,2.4,3,6,12,0.8,0.6,0.2,0.2,0.5,0,0.5,2.1,1.4,1.75,1.25,2,1.5,1,4,7,0.4
freiburg,hamburg,0,1,0,0.3,0.3,0.4,0.4,0.2,0.4,1.4,1.3,2,1.6,1.2,1.4,1,4,7,-0.1,0.4,0.1,0.5,0.4,0.2,0.4,1.1,1.4,1.4,1.4,1.3,1.4,0,3,9,-0.1
vfbstuttgart,hannover,0,0,1,0.3,0.4,0.3,0.2,0.4,0.4,1,1.5,0.8,1.4,1.3,1,1,7,11,0,0.4,0.2,0.4,0.25,0,0.75,2,1.6,1.5,1.75,1.4,0.75,3,3,4,0
fuerth,mgladbach,0,0,1,0.1,0.4,0.5,0,0.2,0.8,0.7,1.6,0.2,1.8,0.7,0.2,1,3,3,-0.4,0.3,0.4,0.3,0.2,0.4,0.4,1.3,1.9,0.8,2.4,1.3,1,1,4,7,0
mainz,nuernberg,1,0,0,0.4,0.2,0.4,0.75,0,0.25,1.3,1.2,1.5,0.25,1.4,2.25,0,4,10,0,0.3,0.2,0.5,0.4,0,0.6,0.8,1.5,1,2,1.1,1.2,3,4,4,-0.2
frankfurt,augsburg,1,0,0,0.55,0.18,0.27,0.67,0.33,0,1.91,1.45,2.33,1.5,1.82,2.33,0,1,4,0.27,0.09,0.27,0.64,0,0.4,0.6,0.55,1.64,0.2,1.4,0.55,0.4,0,0,4,-0.55
nuernberg,bmuenchen,0,1,0,0.27,0.18,0.55,0.2,0.4,0.4,0.82,1.55,0.6,1,1,1,0,3,4,-0.27,0.91,0,0.09,1,0,0,2.91,0.36,3,0,2.73,3,3,6,12,0.82
bremen,duesseldorf,1,0,0,0.36,0.18,0.45,0.6,0.2,0.2,1.64,1.55,2,1,1.27,2,0,4,7,-0.09,0.18,0.45,0.36,0.4,0.2,0.4,0.91,1.45,1.2,0.8,1,1.4,1,1,1,-0.18
hannover,freiburg,0,0,1,0.45,0.18,0.36,0.5,0.33,0.17,2.18,1.64,2.33,1.5,1.55,1.83,3,6,7,0.09,0.27,0.36,0.36,0.2,0.4,0.4,1.27,1.18,0.8,1,1.18,1,1,2,8,-0.09
dortmund,fuerth,1,0,0,0.45,0.36,0.18,0.6,0.2,0.2,2.09,1.09,2.2,0.6,1.73,2,3,7,8,0.27,0.09,0.36,0.55,0.2,0.6,0.2,0.82,1.82,1.2,1.4,0.64,1.2,0,2,3,-0.45
hamburg,mainz,1,0,0,0.36,0.18,0.45,0.4,0,0.6,1,1.27,0.8,1.4,1.27,1.2,1,4,7,-0.09,0.45,0.18,0.36,0.17,0.33,0.5,1.36,1.18,1.17,1.83,1.55,0.83,3,6,10,0.09
leverkusen,schalke,1,0,0,0.45,0.27,0.27,0.6,0.4,0,1.73,1.55,2,1,1.64,2.2,0,6,8,0.18,0.64,0.18,0.18,0.4,0.4,0.2,2,1.09,2,1.6,2.09,1.6,3,6,12,0.45
mgladbach,vfbstuttgart,0,0,1,0.36,0.36,0.27,0.4,0.4,0.2,1.55,1.91,1.8,1.4,1.45,1.6,3,7,10,0.09,0.27,0.36,0.36,0.4,0.4,0.2,1.09,1.73,1.2,1.6,1.18,1.6,0,4,8,-0.09
hoffenheim,wolfsburg,0,0,1,0.27,0.27,0.45,0.4,0.4,0.2,1.55,2.09,1.8,2,1.09,1.6,1,4,5,-0.18,0.27,0.18,0.55,0.33,0.17,0.5,0.82,1.64,0.83,1.33,1,1.17,3,6,6,-0.27
wolfsburg,bremen,0,1,0,0.33,0.17,0.5,0.2,0.2,0.6,1,1.58,0.8,2,1.17,0.8,3,6,9,-0.17,0.42,0.17,0.42,0.17,0.17,0.67,1.67,1.5,1.33,2,1.42,0.67,3,6,10,0
mainz,dortmund,0,0,1,0.42,0.17,0.42,0.8,0,0.2,1.25,1.17,1.6,0.4,1.42,2.4,0,3,7,0,0.5,0.33,0.17,0.33,0.5,0.17,2.17,1.08,2,1.5,1.83,1.5,3,7,10,0.33
duesseldorf,hamburg,1,0,0,0.17,0.42,0.42,0,0.67,0.33,0.92,1.5,0.67,2,0.92,0.67,0,1,1,-0.25,0.42,0.17,0.42,0.33,0.33,0.33,1,1.17,1.17,1.17,1.42,1.33,3,4,7,0
bmuenchen,hannover,1,0,0,0.83,0.08,0.08,0.83,0,0.17,2.75,0.42,2.83,0.67,2.58,2.5,1,7,10,0.75,0.42,0.17,0.42,0.4,0,0.6,2.08,1.67,2,1.8,1.42,1.2,0,6,6,0
hoffenheim,leverkusen,0,0,1,0.25,0.25,0.5,0.33,0.33,0.33,1.5,2.17,1.67,2.17,1,1.33,0,4,5,-0.25,0.5,0.25,0.25,0.33,0.17,0.5,1.75,1.42,1.5,2,1.75,1.17,3,6,10,0.25
augsburg,mgladbach,0,1,0,0.08,0.25,0.67,0.17,0.17,0.67,0.67,1.83,0.83,1.83,0.5,0.67,0,0,1,-0.58,0.33,0.33,0.33,0.33,0.33,0.33,1.5,1.92,1.33,2.33,1.33,1.33,0,4,7,0
fuerth,nuernberg,0,1,0,0.08,0.33,0.58,0,0.17,0.83,0.83,1.92,0.5,2.17,0.58,0.17,0,1,3,-0.5,0.25,0.25,0.5,0.33,0,0.67,0.83,1.5,1,2,1,1,1,4,5,-0.25
freiburg,vfbstuttgart,1,0,0,0.33,0.33,0.33,0.33,0.33,0.33,1.33,1.17,1.67,1.33,1.33,1.33,3,5,8,0,0.33,0.33,0.33,0.5,0.33,0.17,1.17,1.67,1.33,1.5,1.33,1.83,3,4,10,0
vfbstuttgart,augsburg,1,0,0,0.31,0.31,0.38,0.17,0.33,0.5,1.08,1.77,1,1.83,1.23,0.83,0,3,7,-0.08,0.08,0.31,0.62,0,0.33,0.67,0.69,1.77,0.5,1.83,0.54,0.33,1,1,1,-0.54
freiburg,bmuenchen,0,0,1,0.38,0.31,0.31,0.43,0.29,0.29,1.46,1.08,1.86,1.14,1.46,1.57,3,7,8,0.08,0.85,0.08,0.08,0.83,0.17,0,2.92,0.38,2.67,0.17,2.62,2.67,3,7,10,0.77
dortmund,duesseldorf,0,1,0,0.54,0.31,0.15,0.67,0.17,0.17,2.15,1.08,2.33,0.67,1.92,2.17,3,9,13,0.38,0.23,0.38,0.38,0.33,0.17,0.5,1,1.38,1.17,1,1.08,1.17,3,4,4,-0.15
hannover,fuerth,1,0,0,0.38,0.15,0.46,0.43,0.29,0.29,1.92,1.92,2.14,1.57,1.31,1.57,0,3,6,-0.08,0.08,0.38,0.54,0.17,0.5,0.33,0.77,1.77,1.17,1.67,0.62,1,1,1,3,-0.46
nuernberg,hoffenheim,1,0,0,0.23,0.31,0.46,0.17,0.5,0.33,0.77,1.38,0.67,1,1,1,1,2,5,-0.23,0.23,0.23,0.54,0.17,0.17,0.67,1.46,2.15,1.33,2.17,0.92,0.67,0,1,4,-0.31
bremen,leverkusen,0,0,1,0.38,0.23,0.38,0.67,0.17,0.17,1.62,1.46,2,1,1.38,2.17,1,4,8,0,0.54,0.23,0.23,0.43,0.14,0.43,1.77,1.38,1.57,1.86,1.85,1.43,3,6,12,0.31
hamburg,schalke,1,0,0,0.38,0.15,0.46,0.5,0,0.5,0.92,1.23,0.83,1.17,1.31,1.5,0,4,7,-0.08,0.54,0.23,0.23,0.33,0.33,0.33,1.77,1.15,1.67,1.67,1.85,1.33,1,4,7,0.31
mgladbach,wolfsburg,1,0,0,0.31,0.38,0.31,0.33,0.33,0.33,1.46,1.85,1.67,1.5,1.31,1.33,1,4,8,0,0.31,0.23,0.46,0.43,0.14,0.43,1,1.54,1.14,1.29,1.15,1.43,1,7,10,-0.15
hoffenheim,bremen,0,0,1,0.21,0.21,0.57,0.29,0.29,0.43,1.5,2.29,1.57,2.14,0.86,1.14,0,0,4,-0.36,0.36,0.21,0.43,0.14,0.29,0.57,1.57,1.64,1.29,1.86,1.29,0.71,0,4,7,-0.07
bmuenchen,dortmund,0,1,0,0.86,0.07,0.07,0.86,0,0.14,2.86,0.36,3.14,0.57,2.64,2.57,3,7,13,0.79,0.5,0.36,0.14,0.43,0.43,0.14,2.07,1.07,2,1.43,1.86,1.71,1,7,11,0.36
duesseldorf,frankfurt,1,0,0,0.21,0.43,0.36,0.14,0.57,0.29,1,1.36,0.86,1.71,1.07,1,1,4,5,-0.14,0.5,0.21,0.29,0.33,0.17,0.5,1.93,1.57,1.33,1.33,1.71,1.17,0,4,5,0.21
augsburg,freiburg,0,1,0,0.07,0.29,0.64,0.14,0.29,0.57,0.71,1.79,0.86,1.71,0.5,0.71,0,1,1,-0.57,0.36,0.29,0.36,0.33,0.33,0.33,1.36,1.14,1,1,1.36,1.33,0,6,8,0
wolfsburg,hamburg,0,1,0,0.29,0.21,0.5,0.17,0.33,0.5,0.93,1.57,0.83,1.83,1.07,0.83,0,4,7,-0.21,0.43,0.14,0.43,0.29,0.29,0.43,1.07,1.21,1,1.29,1.43,1.14,3,6,7,0
