season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form,home_win_0_proba,home_win_1_proba
2004,21,ulsan_hyundai,incheon_united,1,0,0,0.4,0.3,0.2,0.33,0.44,0.22,0.75,0.55,0.67,0.67,1.5,1.44,0,6,9,0.2,0.2,0.25,0.45,0.11,0.22,0.67,0.8,1.3,0.67,1.67,0.85,0.56,1,4,5,-0.25,0.4874882172,0.5125117828
2004,21,seongnam_fc,jeonbuk_fc,1,0,0,0.25,0.3,0.35,0.44,0.33,0.22,0.9,1.15,1.22,1.11,1.05,1.67,1,4,5,-0.1,0.35,0.4,0.2,0.33,0.44,0.22,1.05,0.65,0.89,0.44,1.45,1.44,0,3,7,0.15,0.628638145,0.371361855
2004,21,fc_seoul,sangju_sangmu,1,0,0,0.3,0.45,0.2,0.33,0.67,0,0.9,0.7,0.78,0.33,1.35,1.67,0,3,7,0.1,0.2,0.45,0.25,0,0.67,0.33,0.65,0.75,0.67,1.11,1.05,0.67,0,1,5,-0.05,0.4491913654,0.5508086346
2004,22,sangju_sangmu,busan_ipark,1,0,0,0.19,0.43,0.29,0.44,0.33,0.22,0.62,0.76,0.78,0.56,1,1.67,0,0,2,-0.1,0.19,0.57,0.19,0.2,0.5,0.3,0.71,0.76,0.8,1.1,1.14,1.1,3,4,5,0,0.6154584307,0.3845415693
2004,22,jeonbuk_fc,pohang_steelers,1,0,0,0.33,0.38,0.24,0.4,0.4,0.2,1,0.67,1.3,0.9,1.38,1.6,0,0,4,0.1,0.35,0.4,0.2,0.44,0.44,0.11,0.95,0.85,1.11,0.78,1.45,1.78,1,1,2,0.15,0.5556748007,0.4443251993
2004,23,daegu_fc,daejeon,1,0,0,0.27,0.23,0.41,0.5,0.1,0.4,1.23,1.18,1.9,1.3,1.05,1.6,1,4,7,-0.14,0.18,0.32,0.41,0.1,0.4,0.5,0.64,1,0.6,1.2,0.86,0.7,0,3,3,-0.23,0.5305318236,0.4694681764
2004,24,suwon_bluewings,jeonbuk_fc,1,0,0,0.48,0.17,0.3,0.64,0,0.36,1.26,1,1.64,1.27,1.61,1.91,3,6,12,0.17,0.36,0.36,0.23,0.3,0.4,0.3,1,0.64,0.8,0.5,1.45,1.3,3,3,6,0.14,0.636372039,0.363627961
2004,24,incheon_united,pohang_steelers,1,0,0,0.17,0.3,0.43,0.3,0.4,0.3,0.78,1.26,1.1,1.2,0.83,1.3,1,2,3,-0.26,0.3,0.35,0.26,0.4,0.4,0.2,0.83,0.83,1,0.8,1.26,1.6,0,1,1,0.04,0.6458054964,0.3541945036
2004,24,jeonnam_dragons,ulsan_hyundai,1,0,0,0.3,0.39,0.22,0.4,0.5,0.1,1.13,0.83,1.4,0.8,1.3,1.7,3,5,11,0.09,0.43,0.3,0.17,0.6,0.2,0.2,0.87,0.57,1.2,0.6,1.61,2,1,7,10,0.26,0.588879411,0.411120589
2004,25,busan_ipark,fc_seoul,1,0,0,0.21,0.5,0.25,0.18,0.64,0.18,0.79,0.79,0.73,0.64,1.13,1.18,3,3,7,-0.04,0.3,0.48,0.17,0.27,0.36,0.36,0.87,0.65,1,1,1.39,1.18,1,5,8,0.13,0.5796070179,0.4203929821
2004,25,ulsan_hyundai,jeju_united,1,0,0,0.42,0.29,0.21,0.36,0.45,0.18,0.83,0.58,0.73,0.64,1.54,1.55,0,4,7,0.21,0.13,0.54,0.25,0.18,0.55,0.27,0.63,1.04,0.91,1.27,0.92,1.09,0,2,8,-0.13,0.3745273799,0.6254726201
2004,26,jeju_united,daegu_fc,1,0,0,0.12,0.52,0.28,0.09,0.64,0.27,0.6,1.08,0.45,1,0.88,0.91,0,1,5,-0.16,0.28,0.28,0.36,0.09,0.45,0.45,1.2,1.08,0.73,1.18,1.12,0.73,1,5,6,-0.08,0.6407159735,0.3592840265
2004,26,daejeon,jeonbuk_fc,1,0,0,0.2,0.32,0.4,0.27,0.36,0.36,0.68,1.04,0.82,1,0.92,1.18,3,4,4,-0.2,0.32,0.32,0.28,0.27,0.36,0.36,0.92,0.68,0.82,0.64,1.28,1.18,0,3,3,0.04,0.6536792571,0.3463207429
2004,26,jeonnam_dragons,seongnam_fc,1,0,0,0.32,0.4,0.2,0.45,0.45,0.09,1.12,0.8,1.36,0.73,1.36,1.82,1,7,9,0.12,0.28,0.32,0.32,0.18,0.36,0.45,0.92,1.08,0.91,1.36,1.16,0.91,0,2,8,-0.04,0.4398760363,0.5601239637
2005,6,busan_ipark,jeonbuk_fc,1,0,0,0.4,0.4,0,1,0,0,1.2,0.8,2,1,1.6,3,1,7,8,0.4,0,0.4,0.6,0,0,1,0.4,1.2,0,1,0.4,0,1,2,2,-0.6,0.4697809773,0.5302190227
2005,7,pohang_steelers,daejeon,1,0,0,0.5,0,0.33,1,0,0,1,0.67,1.5,0.5,1.5,3,0,6,9,0.17,0.17,0.83,0,0,1,0,0.83,0.67,1,1,1.33,1,1,3,7,0.17,0.4967440809,0.5032559191
2005,9,seongnam_fc,daegu_fc,1,0,0,0.13,0.38,0.38,0.25,0.25,0.5,0.75,1.13,0.75,1.25,0.75,1,1,2,3,-0.25,0.13,0.25,0.63,0,0.25,0.75,1.13,2.13,0.75,2,0.63,0.25,0,1,4,-0.5,0.5268293522,0.4731706478
2005,9,pohang_steelers,suwon_bluewings,1,0,0,0.5,0.13,0.25,1,0,0,0.88,0.5,1.33,0.33,1.63,3,1,4,10,0.25,0.13,0.5,0.25,0.25,0.5,0.25,1.5,1.75,2.25,2.25,0.88,1.25,1,4,5,-0.13,0.4438191604,0.5561808396
2005,10,fc_seoul,jeonbuk_fc,1,0,0,0.22,0.44,0.22,0,0.75,0.25,1.44,1.44,1.5,2,1.11,0.75,1,5,7,0,0.11,0.22,0.67,0.25,0,0.75,1.11,1.67,1.25,1.25,0.56,0.75,0,3,4,-0.56,0.543027768,0.456972232
2005,10,busan_ipark,sangju_sangmu,1,0,0,0.56,0.33,0,0.67,0.33,0,1.22,0.56,1.33,0.67,2,2.33,3,7,11,0.56,0.11,0.22,0.56,0.33,0.33,0.33,1.22,1.56,2,1.67,0.56,1.33,1,1,2,-0.44,0.3820096476,0.6179903524
2005,11,ulsan_hyundai,daegu_fc,1,0,0,0.5,0.1,0.3,0.5,0.25,0.25,0.9,0.7,0.5,0.25,1.6,1.75,3,3,7,0.2,0.1,0.3,0.6,0,0.2,0.8,1,2,0.6,2,0.6,0.2,1,1,2,-0.5,0.4358451485,0.5641548515
2005,11,seongnam_fc,fc_seoul,1,0,0,0.3,0.3,0.3,0.4,0.2,0.4,1.1,1,1,1,1.2,1.4,3,7,8,0,0.3,0.4,0.2,0.5,0.25,0.25,1.5,1.3,1.75,1.25,1.3,1.75,3,5,9,0.1,0.6309912661,0.3690087339
2005,13,suwon_bluewings,jeonnam_dragons,1,0,0,0.17,0.42,0.33,0,0.6,0.4,1.33,1.5,0.8,1.4,0.92,0.6,1,4,5,-0.17,0.25,0.42,0.25,0.17,0.67,0.17,1,1,0.67,0.83,1.17,1.17,1,2,6,0,0.592044133,0.407955867
2005,13,daegu_fc,sangju_sangmu,1,0,0,0.09,0.27,0.64,0.2,0.4,0.4,1,2.09,1.4,2,0.55,1,0,1,2,-0.55,0.08,0.25,0.58,0.25,0.25,0.5,1.17,1.67,2,2,0.5,1,1,1,2,-0.5,0.6736741003,0.3263258997
2005,13,incheon_united,seongnam_fc,1,0,0,0.5,0.25,0.17,0.43,0.43,0.14,1.42,0.92,1.43,1,1.75,1.71,3,4,5,0.33,0.33,0.33,0.25,0.2,0.6,0.2,1.33,1,1.4,1.2,1.33,1.2,1,7,11,0.08,0.4885293202,0.5114706798
2005,14,daejeon,daegu_fc,1,0,0,0.15,0.62,0.15,0.33,0.5,0.17,0.85,0.85,0.83,0.67,1.08,1.5,1,2,6,0,0.15,0.23,0.54,0,0.17,0.83,1.08,1.92,0.67,2.17,0.69,0.17,3,4,4,-0.38,0.5516308911,0.4483691089
2005,14,pohang_steelers,jeonbuk_fc,1,0,0,0.46,0.23,0.23,0.8,0.2,0,1.08,0.85,1.2,0.4,1.62,2.6,0,4,8,0.23,0.17,0.25,0.58,0.29,0.14,0.57,1.08,1.58,1.14,1.29,0.75,1,1,4,7,-0.42,0.4667615293,0.5332384707
2005,15,jeju_united,sangju_sangmu,1,0,0,0.36,0.29,0.29,0.33,0.17,0.5,0.86,0.79,1.17,1.5,1.36,1.17,3,4,5,0.07,0.07,0.21,0.64,0.2,0.2,0.6,1.14,1.79,2,2.2,0.43,0.8,0,1,1,-0.57,0.4579472765,0.5420527235
2005,16,daejeon,busan_ipark,1,0,0,0.2,0.6,0.13,0.43,0.43,0.14,0.87,0.8,1,0.71,1.2,1.71,1,5,6,0.07,0.5,0.29,0.14,0.67,0.33,0,1.29,0.86,1.33,0.5,1.79,2.33,0,1,7,0.36,0.5883034091,0.4116965909
