home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form
benfica,sporting,1,0,0,0.7029703634,-0.14917201,-0.625414908,1.5527609476,-0.566694989,-1.343720676,0.6166028946,-0.499738097,1.2141104214,-0.431722407,0.7174218385,1.6127386107,1.4238925356,0.8081113532,0.9450990754,0.705686011,1.5367523746,-0.802869319,-1.043022657,2.4807958715,-1.543657216,-1.160107579,1.4465946817,-0.899386602,2.996433666,-0.073861567,1.4560538046,2.1727551059,-0.442374951,1.0906172269,0.8613845084,1.3779633398
amadora,vicente,1,0,0,-1.523916512,-1.557306034,2.6080996246,-1.233753376,-0.566694989,1.9957272777,-1.007868309,1.927928695,-0.648796797,0.3012841697,-1.966186956,-1.564437597,-0.930634868,-1.604823654,-1.965428941,-2.177812426,-1.544250189,-0.141526935,1.7554505798,-1.294964991,-1.543657216,2.2920542087,-1.394489056,0.740147706,-1.478589705,0.8165454364,-1.678514958,-1.765957288,1.0784813921,-0.131173657,-0.893157899,-1.719373125
sporting,belenenses,1,0,0,1.3392237564,-0.977486142,-0.736915409,0.1595037858,0.3582314579,-0.496398061,1.2014125278,-0.499738097,-0.123361428,-1.509673255,1.1898881756,0.2783246033,-0.930634868,0.0037996839,0.9450990754,1.0805408077,0.857887403,0.3544798525,-1.154961587,0.9795897454,-0.558414211,-0.494630608,-0.016351422,-1.04621057,0.2536774061,-0.661530189,0.9868069838,0.8651025913,1.0784813921,0.6833535989,0.8613845084,1.0338148436
alverca,benfica,1,0,0,-0.728599771,-0.314834837,0.9913423583,0.1595037858,-0.566694989,0.3010820477,-0.141483667,1.927928695,0.6727527681,-0.065219119,-0.851166401,0.0241505066,-0.930634868,-0.398356151,-1.092270536,-0.909073113,0.857887403,-0.306862531,-0.707205869,-0.521616381,0.3688733225,0.2124386741,0.8105311583,-0.67915065,-0.447478329,-0.358791808,0.855417874,-0.458304773,1.0784813921,1.9051444829,1.4462319776,0.8330615542
vicente,boavistaporto,0,0,1,-1.523916512,-0.314834837,1.8275961167,-1.233753376,1.3409658079,0.3010820477,-1.289443318,0.8112019708,-0.919475624,0.3012841697,-1.720504461,-1.040203523,-0.930634868,-0.398356151,-0.801217734,-1.802957629,0.857887403,0.9331544384,-1.54674784,-0.521616381,3.2666468655,-1.86717686,1.7858285609,-0.850445279,0.5836330464,-0.661530189,1.1369659665,0.3294377057,1.0784813921,1.0906172269,1.153808243,1.2632471744
madeira,braga,1,0,0,0.0667169704,-0.314834837,0.0993383493,1.5527609476,-0.566694989,-1.343720676,-0.293100979,-0.69395144,0.6727527681,-1.143169967,0.0181716596,1.6127386107,-0.1457924,-0.800511985,-0.510164933,-0.015188598,1.2756504625,-0.306862531,-1.154961587,0.2062411349,0.3688733225,-0.494630608,1.12856292,-0.11632544,0.9342109142,0.5316151953,1.2871249491,0.3294377057,1.0784813921,1.0906172269,0.8613845084,1.2632471744
farense,campomaiorense,0,0,1,0.0667169704,0.3478164689,-0.290913405,0.1595037858,0.3582314579,-0.496398061,0.356687502,0.0586252654,0.6727527681,0.6462284411,0.1693608874,0.2783246033,-0.1457924,0.0037996839,0.3629934722,0.2154912768,-1.544250189,2.2558392061,0.1323361024,-0.521616381,1.3541163271,-0.494630608,-0.991648825,1.2050902709,-0.77743397,0.2288768142,-1.171728392,-0.19047233,-0.442374951,0.2760899709,-0.600734164,-0.945039009
guimaraes,ferreira,0,0,1,-0.728599771,-0.314834837,0.9913423583,-0.558234752,0.3582314579,0.3010820477,0.2050701897,1.5637786762,0.6727527681,2.0906825777,-0.851166401,-0.515969449,-0.930634868,-1.604823654,-0.801217734,-0.909073113,0.0223612841,0.3544798525,-0.259450151,-0.521616381,0.3688733225,0.2124386741,0.6409142187,-0.48338536,-0.096900462,-0.661530189,0.1233928336,-0.458304773,-0.442374951,-0.945700913,-0.30831043,0.1734436033
aves,leiria,0,1,0,-1.152768699,-0.977486142,1.8275961167,-0.558234752,-0.566694989,1.1484046627,-0.293100979,1.7337153516,0.1473173988,1.0127317295,-1.418126005,-0.770143545,-0.930634868,-1.604823654,-1.092270536,-1.572277754,-0.343181393,0.9331544384,-0.259450151,-1.294964991,1.3541163271,0.2124386741,-0.504000123,0.8380303512,-1.128011838,1.4220221986,-0.158155259,-0.978214809,1.0784813921,0.6833535989,-0.015886695,-0.055988727
belenenses,alverca,1,0,0,0.7029703634,0.1821536425,-0.84841591,0.4550431837,0.9363104873,-1.343720676,-0.011525971,-0.839611448,-0.187050564,-0.992256848,0.7930164524,0.7707869156,-0.930634868,-0.398356151,0.6540462738,0.8210259484,-0.447622158,-0.472198127,0.8039696792,-1.294964991,0.1370514391,1.0858771986,-0.058755657,1.7923861424,-0.983656245,2.6507838632,-0.608632207,-1.30906665,1.0784813921,0.6833535989,-0.30831043,-0.658248596
amadora,aves,0,1,0,-1.205789815,-1.640137447,2.3850986224,-0.727114408,-0.740118698,1.4973022101,-0.921229845,1.5880553441,-0.425884822,0.2366071188,-1.644909847,-1.040203523,-0.930634868,-0.398356151,-1.092270536,-1.860627597,-1.230927894,-0.472198127,1.5875421855,-1.294964991,-0.732280624,1.709761859,-0.355585301,1.6210915132,-0.69494506,1.6357198794,-1.415736738,-1.545389394,-0.442374951,-1.352964541,-1.770429103,-1.489940795
braga,beiramar,0,1,0,1.074118176,-0.480497663,-0.84841591,1.6794206896,-0.740118698,-1.343720676,0.9198375192,0.0100719295,0.9434315948,-0.690430611,1.0575976012,1.6762821349,-0.930634868,0.0037996839,0.0719406705,1.022870839,-0.447622158,-0.472198127,0.8039696792,0.024276756,-0.732280624,0.503584849,-0.652414946,0.740147706,-0.096900462,0.6028477556,-0.608632207,-0.19047233,-1.202803123,0.6833535989,1.4462319776,-0.658248596
madeira,farense,0,1,0,0.3318225508,-0.480497663,-0.012162152,1.6794206896,-0.740118698,-1.343720676,-0.163143283,-0.839611448,0.7205196199,-1.294083086,0.2449555014,1.6762821349,1.4238925356,0.4059555186,0.3629934722,0.1866562924,-0.082079481,0.1891442565,0.0203971729,0.024276756,0.1370514391,-0.078707501,0.2592761047,0.3975584476,-0.096900462,-0.412216228,-0.064305895,0.0300955638,-1.202803123,-0.131173657,-0.600734164,-0.055988727
campomaiorense,guimaraes,0,0,1,-1.205789815,1.9216133193,-0.012162152,-1.951491914,1.7456211285,0.7995071154,-0.61799522,1.05396865,-0.871708772,1.7888563402,-0.832267747,-1.723296408,1.4238925356,0.4059555186,0.3629934722,-0.62072327,-0.865385217,-0.472198127,1.1957559324,-0.658089665,-0.732280624,1.0858771986,-0.058755657,1.449796884,-0.385611647,0.6028477556,-1.002799536,-0.867930862,-1.202803123,-1.760228169,-1.185581633,-1.088434216
boavistaporto,salgueiros,1,0,0,1.074118176,0.7619735348,-1.628919418,1.6794206896,-1.549429339,-0.645925581,1.8512010093,-1.009548123,2.0739137532,-0.690430611,1.32217875,1.4538798003,1.4238925356,1.2102671878,1.236151877,1.4265606201,1.0145485503,-2.208221885,0.4121834261,0.024276756,-1.543657216,1.0858771986,0.1108612826,0.3975584476,0.1918107236,1.3685977784,0.5926396544,-0.411040224,1.0784813921,-0.538437285,-0.30831043,0.3455178514
ferreira,sporting,0,1,0,0.3318225508,0.1821536425,-0.402413906,0.4550431837,0.1269998462,-0.645925581,0.6166028946,-0.669674772,0.9434315948,-0.065219119,0.3772460758,0.548384581,1.4238925356,0.4059555186,0.3629934722,0.388501183,1.3800912273,-1.050872713,-0.819144798,1.9349027347,-1.543657216,-0.66099985,1.1709671549,-0.48338536,2.2540334753,0.3535337947,1.2683550763,1.6055805212,1.0784813921,-0.131173657,0.8613845084,1.1772100504
benfica,vicente,0,1,0,0.7029703634,-0.480497663,-0.402413906,1.6794206896,-0.740118698,-1.343720676,0.7682202069,-0.499738097,1.4051778285,-0.690430611,0.6418272246,1.6762821349,-0.930634868,0.8081113532,0.6540462738,0.5903460735,-1.596470571,-0.472198127,1.9793284387,-1.294964991,-1.543657216,2.2920542087,-1.415691174,0.9114423352,-1.27236743,0.8699698566,-1.809904068,-1.765957288,-1.202803123,-0.538437285,-0.893157899,-1.891447373
salgueiros,benfica,0,0,1,0.8620337116,-2.21995734,0.6010906043,1.6794206896,-1.549429339,-0.645925581,-0.033185587,0.9568619783,0.0358614113,-0.992256848,0.4339420362,1.4538798003,-0.930634868,-0.398356151,-1.092270536,0.1866562924,0.492344726,0.0238086606,-0.48332801,-0.658089665,0.1370514391,0.503584849,0.4924993966,-0.654679989,-0.385611647,-0.145094127,0.5175601631,-0.647362968,-0.442374951,-0.131173657,0.8613845084,0.5175920995
alverca,ferreira,1,0,0,-0.516515306,-0.563329076,0.9355921077,0.4550431837,-0.740118698,0.1017120206,-0.184802899,1.6123320121,0.7205196199,-0.065219119,-0.699977173,0.3259822464,-0.930634868,-0.398356151,-0.219112131,-0.793733176,0.1268020489,0.5198154485,-0.48332801,0.024276756,0.1370514391,-0.078707501,0.3440845745,-0.801503957,-0.096900462,-0.91084415,0.2547819434,0.0300955638,-0.442374951,0.2760899709,-0.30831043,0.3168388101
beiramar,leiria,1,0,0,-0.516515306,0.0164908162,0.6010906043,-0.727114408,0.1269998462,0.7995071154,-0.314760595,0.9568619783,-0.871708772,0.5599923733,-0.567686598,-0.817801189,-0.1457924,0.0037996839,0.9450990754,-0.591888285,-0.238740628,1.0984900343,-0.48332801,-1.294964991,1.7598046231,-0.078707501,-0.228372597,0.666735722,-0.983656245,1.1192838175,0.0107735967,-0.867930862,1.0784813921,1.0906172269,0.8613845084,0.144764562
campomaiorense,alverca,0,0,1,-1.258810932,1.4246248402,0.4338398527,-1.951491914,1.3409658079,1.1484046627,-0.7262933,1.029691982,-1.046853895,1.5517071536,-1.059051589,-1.834497575,-0.930634868,-0.398356151,-0.510164933,-0.909073113,-0.343181393,-0.637533723,0.8039696792,-1.294964991,-0.094770444,1.2522464414,-0.101159892,1.3519142388,-1.128011838,2.2411966417,-0.49601297,-1.372086048,1.0784813921,0.6833535989,0.5689607739,-0.600890513
benfica,aves,1,0,0,0.7029703634,-0.14917201,-0.625414908,1.2150016356,-0.104231766,-1.343720676,0.6166028946,-0.645398104,0.9434315948,-0.862902746,0.7174218385,1.342678633,1.4238925356,0.0037996839,0.9450990754,0.705686011,-1.283148277,-0.141526935,1.5315727208,-1.294964991,-0.094770444,1.2522464414,-0.504000123,1.3519142388,-0.85992288,1.1192838175,-1.434506611,-1.372086048,-1.202803123,-0.945700913,-1.478005368,-1.489940795
leiria,braga,0,1,0,-0.304430842,0.9276363612,-0.290913405,0.7083626677,-0.104231766,-0.695768088,-0.184802899,0.8597553066,0.3543070897,-0.065219119,-0.114118915,0.7549010345,-0.930634868,0.0037996839,0.0719406705,-0.015188598,0.9623281679,-0.141526935,-0.931083728,0.024276756,0.1370514391,-0.078707501,1.2133713898,0.1283811732,0.5011441363,0.6028477556,1.0243467295,0.0300955638,1.0784813921,-0.131173657,0.2765370393,1.0338148436
farense,guimaraes,0,1,0,-0.304430842,0.3478164689,0.0993383493,-0.136035612,0.1269998462,0.1017120206,0.0751124934,0.5684352916,0.4816853611,1.1636448483,-0.227510836,-0.134708304,-0.930634868,-1.20266782,-0.510164933,-0.188198504,-0.656503688,-0.141526935,0.8039696792,-0.157687623,-0.790236095,0.7531387131,-0.101159892,1.058266303,-0.344367192,0.2288768142,-0.740021317,-0.379530525,-0.442374951,-0.131173657,-0.893157899,-0.772964761
belenenses,salgueiros,1,0,0,0.7029703634,-0.14917201,-0.625414908,0.7083626677,0.6472709726,-1.343720676,-0.054845203,-0.791058112,-0.250739699,-1.143169967,0.7174218385,0.945531607,-0.930634868,-0.398356151,-0.219112131,0.705686011,0.6490058733,-2.208221885,0.8039696792,-0.157687623,-1.543657216,1.2522464414,-0.101159892,1.058266303,-0.096900462,2.0096908208,0.198472325,-0.58434357,-1.202803123,-0.538437285,-1.185581633,-0.055988727
ferreira,vicente,1,0,0,0.0667169704,0.3478164689,-0.290913405,0.1595037858,0.6472709726,-0.695768088,0.2050701897,-0.645398104,0.5453744968,-0.323927322,0.1315635805,0.3577540085,-0.930634868,0.0037996839,-0.219112131,0.157821308,-1.283148277,-0.141526935,1.5315727208,-1.294964991,-0.790236095,1.7929464804,-1.288478469,0.5933237381,-1.375478568,0.460382635,-1.434506611,-1.561144243,1.0784813921,-0.131173657,-0.015886695,-1.489940795
madeira,alverca,1,0,0,-0.092346378,0.1821536425,-0.067912402,0.8772423237,-0.277655474,-0.795453101,-0.336420212,-0.645398104,0.2428511023,-0.776666678,-0.038524301,0.8978739639,-0.930634868,-0.800511985,-0.219112131,-0.015188598,-0.134299863,-0.720201521,0.636061285,-0.794562949,-0.268636857,0.9195079559,0.2380739873,1.1072076256,-0.323744964,1.7069524397,-0.289544369,-0.883685711,1.0784813921,0.6833535989,0.5689607739,-0.400137224
belenenses,aves,1,0,0,0.8620337116,-0.232003423,-0.681165159,0.8772423237,0.3582314579,-1.343720676,0.0534528773,-0.936718119,-0.123361428,-1.272524069,0.8497124129,1.0726186553,1.4238925356,0.8081113532,0.6540462738,0.8210259484,-1.335368659,-0.224194733,1.6435116503,-1.294964991,-0.268636857,1.3770233735,-0.504000123,1.8168568037,-0.77743397,1.7069524397,-1.509586103,-1.419350597,-1.202803123,-1.352964541,-1.478005368,-1.575977919
boavistaporto,beiramar,1,0,0,1.4982871046,0.1821536425,-1.684669669,1.8060804315,-1.549429339,-0.795453101,2.0894567858,-1.203761466,2.1853697406,-1.013815865,1.6434558593,1.6127386107,1.4238925356,2.014578857,2.4003630834,1.6860754794,-0.447622158,0.1891442565,0.3002444966,-0.294160907,0.3688733225,-0.03711519,-0.122362009,0.8135596899,0.3567885437,0.727504736,-0.402163606,-0.19047233,-0.442374951,0.2760899709,0.2765370393,-0.400137224
guimaraes,braga,0,1,0,-0.675578655,0.1821536425,0.6010906043,-0.895994064,0.6472709726,0.5502945815,-0.076504819,0.9325853104,0.1473173988,1.5517071536,-0.699977173,-0.83368707,-0.1457924,0.4059555186,-0.510164933,-0.707228223,0.8056670206,0.1891442565,-0.987053192,-0.157687623,0.6586506768,-0.286669054,1.0013502153,-0.042913456,0.1711884961,0.2288768142,0.9117274925,0.0143407143,-0.442374951,0.2760899709,0.2765370393,0.9477777196
ferreira,salgueiros,0,1,0,0.2257803187,0.1821536425,-0.402413906,0.4128232697,0.3582314579,-0.795453101,0.2917086539,-0.791058112,0.5931413485,-0.539517492,0.3016514618,0.548384581,1.4238925356,0.0037996839,0.3629934722,0.3308312142,0.492344726,-2.208221885,0.9718780734,-0.294160907,-1.543657216,1.3770233735,-0.249574714,1.1072076256,-0.323744964,1.9028419804,0.0295434695,-0.710382366,-1.202803123,-1.760228169,-1.185581633,-0.228062975
farense,sporting,1,0,0,-0.410473074,0.6791421216,-0.067912402,-0.347135182,0.6472709726,-0.097658006,0.0534528773,0.4956052879,0.3543070897,1.0127317295,-0.246409489,-0.245909471,-0.1457924,-0.800511985,-1.092270536,-0.188198504,1.4323116098,-0.720201521,-0.987053192,1.7529383558,-0.906147036,-0.952146025,1.0013502153,-0.777033295,1.7384777874,-0.269751108,1.3622044404,1.5583159725,1.0784813921,1.0906172269,0.8613845084,1.2919262157
