season,round,home_team,away_team,home_win,draw,away_win,home_prob_total_wins,home_prob_total_draws,home_prob_total_loses,prob_total_home_wins,prob_total_home_draws,prob_total_home_loses,home_avg_total_goles_scored,home_avg_total_goles_conceded,avg_total_home_goles_scored,avg_total_home_goles_conceded,home_avg_total_points,avg_total_home_points,home_point_1_back,home_point_3_back,home_point_5_back,home_team_form,away_prob_total_wins,away_prob_total_draws,away_prob_total_loses,prob_total_away_wins,prob_total_away_draws,prob_total_away_loses,away_avg_total_goles_scored,away_avg_total_goles_conceded,avg_total_away_goles_scored,avg_total_away_goles_conceded,away_avg_total_points,avg_total_away_points,away_point_1_back,away_point_3_back,away_point_5_back,away_team_form
2020,20,sporting,portimonense,1,0,0,0.6953914996,-1.072372073,0.0633031657,0.5427098394,-1.255262799,0.5459386411,0.4918075316,-0.230973939,0.0513685218,0.2860089219,0.4761082679,0.2098092572,-0.98484069,-0.477071103,-0.300311562,0.3660678474,-1.31114704,1.0538490304,0.6982599463,-1.017259443,0.8494466422,0.5021966413,-1.100198473,0.5538756524,-1.000945436,0.521394058,-1.219048263,-0.89386265,-1.153580839,-1.734352247,-1.456998731,-1.134498856
2020,21,madeira,ferreira,1,0,0,-0.831590588,1.3236315804,-0.043728629,-0.92371625,1.2355846815,-0.08982878,-0.641021971,0.3324099769,-0.292480937,0.6555072567,-0.597126506,-0.664842409,-0.230917858,-1.238547604,-1.123746062,-0.45370246,-0.888216811,-0.457275803,1.428909879,-0.977144192,-0.308406268,1.2149791797,-1.246928978,0.3905371588,-1.075557114,0.8278707595,-1.113261807,-1.093076583,-1.153580839,-1.734352247,-1.456998731,-1.217056712
2020,22,sporting,boavistaport,1,0,0,0.6491193151,-0.860959986,-0.150760423,0.7056460715,-1.255262799,0.3642908066,0.4738261109,-0.254448268,0.1373308865,0.2449535513,0.5272146858,0.4092912162,-0.230917858,-0.096332851,-0.025833395,0.4454004578,-0.277317588,0.4356615986,-0.088593827,0.1861980652,0.2061950252,-0.336371051,-0.770054838,-0.659496015,-0.81441624,-1.01098945,-0.178814782,0.2445026794,-1.153580839,0.6540580563,0.5035389238,-0.116285306
2020,22,ferreira,fcfamalicao,1,0,0,-0.877862773,-0.508606507,1.4012005958,-0.638577843,-0.358557706,1.0454701858,-1.234408853,0.5202046153,-1.094796341,-0.165600154,-1.091155212,-0.81829007,-0.98484069,-1.619285855,-1.672702395,-1.194140156,0.1926048894,0.1609116289,-0.313409191,0.1861980652,0.2061950252,-0.336371051,0.6238849561,1.3472340499,0.4912881297,0.6916588922,0.2443310406,0.2445026794,-0.404424329,-0.938215479,-1.176921923,0.2689846854
2020,22,porto,portimonense,1,0,0,1.9910126651,-1.142842768,-1.38162606,1.9276678125,-1.255262799,-0.998067952,1.6785812961,-1.16994713,1.4267663568,-1.191984417,1.9070879673,1.7903201627,1.2769278058,1.8073584045,1.3465574385,1.8204990377,-1.358139288,1.1225365228,0.7544637873,-1.057374693,0.5921459953,0.7118385644,-1.045174534,0.5772097228,-0.926333757,0.5894999917,-1.271941491,-0.97924005,-0.404424329,-1.336283863,-1.737075539,-1.162018141
2020,22,moreirense,santaclara,1,0,0,-0.64650185,0.8303367107,0.1168190624,-0.109035089,0.2392456892,-0.08982878,0.2220862215,0.5202046153,0.2806014943,0.6555072567,-0.511949143,-0.051051766,-0.230917858,0.2844054,-0.300311562,-0.427258256,-0.04235635,-0.182525833,0.1924253776,0.1861980652,0.2061950252,-0.336371051,-0.861761403,-0.426155309,-0.627887044,-0.840724615,-0.090659402,0.2445026794,1.0938886914,1.8482632078,1.3437693474,-0.116285306
2020,22,braga,setubal,1,0,0,0.6491193151,-0.508606507,-0.364824012,0.2983054912,0.2392456892,-0.543948365,0.5637332144,-0.254448268,0.2806014943,0.450230404,0.6123920489,0.4092912162,1.2769278058,1.0458819023,1.6210356054,0.577621475,-0.46528658,0.7790990607,-0.088593827,-0.214954437,0.2061950252,0.0829127951,-1.045174534,-0.192814604,-0.441357849,0.0105995555,-0.337494466,-0.182384319,-1.153580839,-1.336283863,-0.056614692,-0.253881731
2020,23,fcfamalicao,sporting,1,0,0,0.1401252858,0.0551590582,-0.20427632,0.094635201,0.0897948404,-0.226064655,0.5996960557,1.3183318286,0.5957968314,1.5176700379,0.1694697609,0.163774959,-0.98484069,-1.238547604,-1.398224229,0.1809584232,0.7565118631,-0.869400757,-0.144797669,0.3867743166,0.0132195402,-0.462156205,0.4954957645,-0.309484957,0.7710819233,-0.500194947,0.5969525595,0.4437166121,1.0938886914,1.0521264401,0.7836157317,0.5166582515
2020,23,guimaraes,tondela,1,0,0,-0.091235636,0.4075125366,-0.20427632,0.094635201,-0.358557706,0.1826429722,0.6896031591,-0.277922598,0.3379097374,-0.350349322,0.0161505074,0.0256720644,1.2769278058,0.6651436512,-0.300311562,0.0751816094,-0.559271075,0.0235366436,0.5858522644,0.3867743166,-0.565706915,-0.084800743,-0.770054838,0.1105283125,0.0809238991,-0.193718246,-0.601960604,0.3156505124,-1.153580839,-1.336283863,-0.896845115,-0.611632439
2020,24,sporting,cdaves,1,0,0,0.6491193151,-0.931430681,-0.043728629,0.8685823036,-1.255262799,0.1826429722,0.4738261109,-0.184025278,0.2089661903,0.019149013,0.5101792132,0.578083643,-0.98484069,-0.096332851,-0.025833395,0.3925120509,-1.029193554,-1.556275681,2.4405790164,-1.057374693,-1.14463337,1.8439049489,-0.513276454,1.8139154603,-0.086952377,1.8154067978,-1.518776554,-1.377667915,-1.153580839,-1.336283863,-0.896845115,-1.794961699
